name,company,image,for_gender,rating,number_votes,main_accords,description,top notes,middle notes,base notes,season,longevity,sillage,gender_vote,price value,price
Pure XS For Her,Paco Rabanne,https://fimgs.net/mdimg/perfume/375x500.51424.jpg,for women,3.8,1748,"['vanilla', 'sweet', 'woody', 'powdery', 'yellow floral', 'coconut', 'lactonic', 'musky', 'white floral', 'fruity']","Pure XS For Her by Paco Rabanne is a Oriental Floral fragrance for women. This is a new fragrance. Pure XS For Her was launched in 2018. Pure XS For Her was created by Quentin Bisch and Emilie (Bevierre) Coppermann. After the success of last year's edition Paco Rabanne Pure XS for Him, advertised by Francisco Henriques, the woman's version is announced, described as wild and very provocative. Paco Rabanne makes a new step in the XS line by launching PURE XS FOR HER EAU DE PARFUM: an erotic floral-oriental edition advertised by the new brand ambassador, American actress and model Emily Ratajkowski. The perfumer who composed and signed the newest Rabanne release is Quentin Bisch. ""A wildly provocative – and wildly untamed – floral created by Quentin Bisch, an impassioned and passionate perfumer at Givaudan. Inspired by one of his trips to Reunion Island, he came back to Paris obsessed with a heady, dazzling ylang-ylang. His goal: to bottle the essence of an orgasm, an explosion of the senses brought within reach with a distinctive Paco flair. Quentin has devised a detonating duo: magnetic ylang-ylang on an intriguing popcorn-note explosion. The notes vibrate against each other, together in tension. To trigger, in an avalanche of the senses, a moment of explosive erotica.""  The formula explosion: ylang-ylang, vanilla, popcorn note, sandalwood, ambrette seeds. The photo campaign is realized by the famous photographer Nathaniel Goldberg, who is also behind the Million and Pure XS campaigns. The face and muse for the newest Paco Rabanne creation is Emily Ratajkowski. The sculptural bottle resembles the shape of the Black XS Eau de Parfum from 2018 with sharper edges then the previous Black XS editions, made in an ombre-style of powder pink shades, while the pink outer box is made with a velvety finish and gold-colored details. The fragrance Pure XS For Her is available as a 30ml Eau de Parfum, 50ml Eau de Parfum and 80ml Eau de Parfum. Read about this perfume in other languages: Deutsch, Español, Français, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.",[],"['Popocorn', 'Vanilla', 'Ylang-Ylang', 'Coconut', 'Peach', 'Orange Blossom', 'Ambrette (Musk Mallow)', 'White Musk', 'Sandalwood', 'Amberwood']",[],fall,"{'very weak': 57, 'weak': 72, 'moderate': 206, 'long lasting': 275, 'eternal': 106}","{'intimate': 145, 'moderate': 349, 'strong': 338, 'enormous': 262}","{'female': 157, 'more female': 16, 'unisex': 8, 'more male': 0, 'male': 1}","{'way overpriced': 3, 'overpriced': 27, 'ok': 100, 'good value': 21, 'great value': 7}",300
Eros Flame,Versace,https://fimgs.net/mdimg/perfume/375x500.52180.jpg,for men,3.79,1310,"['citrus', 'aromatic', 'vanilla', 'fresh spicy', 'woody', 'warm spicy', 'sweet', 'powdery', 'rose']","Eros Flame by Versace is a Woody Spicy fragrance for men. This is a new fragrance. Eros Flame was launched in 2018. The nose behind this fragrance is Olivier Pescheux. Top notes are Mandarin Orange, Black Pepper, Chinotto, Lemon and Rosemary; middle notes are Pepper, Geranium and Rose; base notes are Vanilla, Tonka Bean, Texas Cedar, Sandalwood, Patchouli and Oakmoss. Versace Eros Flame, is a flanker to the original masculine Eros from 2012. While the pillar is an aromatic-fougère, the new scent goes into a totally different direction with citrusy, spicy, woody, and ambery accords, described as ""cold and hot, sweet and spicy, light and shadow."" The concept is based on an interpretation of passionate love, marketed as a fragrance for a ""strong, passionate, self-confident man who is deeply in touch with his emotions."" Olivier Pescheux developed the composition as one of contrasts; the head notes are made to be vivacious and fresh with italian citruses, black pepper and rosemary. Pepperwood, geranium and rose facets are in the heart, before a warm base of woods, blended with tonka and vanilla. The advertising campaign is a modern interpretation of Canova's iconic ""Eros and Psyche"" sculpture, where a man embraces a woman played by Gigi Hadid and Salomon Diaz. The campaign is shot by Steven Meisel. Versace Eros Flame is available as a 30, 50, 100 and 200 ml Eau de Parfum, a 100 ml After Shave Lotion, a 100 ml After Shave Balm, a 75 ml Deodorant Stick, a 100 ml Deodorant and a 250 ml Shower Gel.  Read about this perfume in other languages: Deutsch, Español, Français, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.","['Mandarin Orange', 'Black Pepper', 'Chinotto', 'Lemon', 'Rosemary']","['Pepper', 'Geranium', 'Rose']","['Vanilla', 'Tonka Bean', 'Texas Cedar', 'Sandalwood', 'Patchouli', 'Oakmoss']",fall and winter,"{'very weak': 48, 'weak': 47, 'moderate': 153, 'long lasting': 393, 'eternal': 115}","{'intimate': 86, 'moderate': 303, 'strong': 397, 'enormous': 164}","{'female': 3, 'more female': 3, 'unisex': 28, 'more male': 91, 'male': 130}","{'way overpriced': 4, 'overpriced': 21, 'ok': 90, 'good value': 106, 'great value': 15}",300
Scandal By Night,Jean Paul Gaultier,https://fimgs.net/mdimg/perfume/375x500.50715.jpg,for women,4.19,1163,"['sweet', 'honey', 'vanilla', 'white floral', 'woody', 'tuberose', 'cherry', 'amber', 'warm spicy', 'citrus']","Scandal By Night by Jean Paul Gaultier is a Oriental Floral fragrance for women. This is a new fragrance. Scandal By Night was launched in 2018. The nose behind this fragrance is Daphne Bugey. Top notes are Honey, Bitter Orange and Citruses; middle notes are Tuberose, Cherry, Orange Blossom, Pear and Nard Himalayan (Jatamansi); base notes are Tonka Bean, Vanilla, Patchouli, Sandalwood, Amberwood and White Musk. Scandal By Night comes out in August 2018. This edition will be the first flanker of the new perfume from designer Jean Paul Gaultier, the gourmand chypre scent based on the note of honey named Scandal from 2017. While Scandal was announced as a free-spirited fragrance, the new edition is described as ultimately unbridled and unchaining. The campaign continues to tell the story of Madame La Ministre; a high-ranking official by day, and a bustling party woman visiting the Pigalle district in Paris when the night falls. Her fragrance is potent, sweet and opulent. Top notes: citrus, honey
Heart: tuberose, nard
Base: patchouli, tonka, sandalwood Scandal By Night is available as a 30, 50 and 80 ml Eau de Parfum. Read about this perfume in other languages: Deutsch, Español, Français, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.","['Honey', 'Bitter Orange', 'Citruses']","['Tuberose', 'Cherry', 'Orange Blossom', 'Pear', 'Nard Himalayan (Jatamansi)']","['Tonka Bean', 'Vanilla', 'Patchouli', 'Sandalwood', 'Amberwood', 'White Musk']",winter,"{'very weak': 35, 'weak': 37, 'moderate': 80, 'long lasting': 201, 'eternal': 229}","{'intimate': 75, 'moderate': 155, 'strong': 293, 'enormous': 288}","{'female': 114, 'more female': 5, 'unisex': 2, 'more male': 0, 'male': 0}","{'way overpriced': 7, 'overpriced': 25, 'ok': 65, 'good value': 15, 'great value': 6}",300
Boss The Scent Private Accord for Her,Hugo Boss,https://fimgs.net/mdimg/perfume/375x500.50875.jpg,for women,4.1,1055,"['cacao', 'warm spicy', 'citrus', 'sweet', 'coffee', 'fruity', 'vanilla', 'floral', 'amber']","Boss The Scent Private Accord for Her  by Hugo Boss is a Oriental Vanilla fragrance for women. This is a new fragrance. Boss The Scent Private Accord for Her  was launched in 2018. The nose behind this fragrance is Louise Turner. Top note is Mandarin Orange; middle notes are Coffee and Osmanthus; base notes are Cacao and Tonka Bean. Boss The Scent's Private Accord for Her is a oriental-gourmand version of the original, signed by perfumer Louise Turner, announced as luxurious and sensual scent with a darker facets. Top notes: mandarin
Heart: osmanthus, coffee
Base: cacaon absolute, roasted tonka Available as a 30, 50 and 100 ml Eau de Parfum. Read about this perfume in other languages: Deutsch, Español, Français, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.",['Mandarin Orange'],"['Coffee', 'Osmanthus']","['Cacao', 'Tonka Bean']",fall,"{'very weak': 61, 'weak': 96, 'moderate': 177, 'long lasting': 77, 'eternal': 35}","{'intimate': 174, 'moderate': 225, 'strong': 108, 'enormous': 129}","{'female': 87, 'more female': 14, 'unisex': 8, 'more male': 0, 'male': 0}","{'way overpriced': 3, 'overpriced': 26, 'ok': 43, 'good value': 30, 'great value': 5}",300
Luna Rossa Black,Prada,https://fimgs.net/mdimg/perfume/375x500.48682.jpg,for men,4.27,1201,"['amber', 'musky', 'woody', 'powdery', 'vanilla', 'aromatic', 'balsamic', 'sweet', 'warm spicy', 'patchouli']","Luna Rossa Black by Prada is a Oriental Woody fragrance for men. Luna Rossa Black was launched in 2018. The nose behind this fragrance is Daniela (Roche) Andrier. Top note is Bergamot; middle notes are Angelica and Patchouli; base notes are Coumarin, Amber and Musk. In early 2018, the 7th version of Prada's popular Luna Rossa fragrance arrives on shelves. Luna Rossa Black follows the original Luna Rossa from 2012 and more recently, 2017's Luna Rossa Carbon. Inspired by the Prada Luna Rossa sailing challenge, an Italian sailboat racing syndicate first created to compete for the 2000 America's Cup and co-sponsored by Prada, the Luna Rossa fragrances have been created by perfumer Daniela Andrier with bottle designs by Yves Behar. This new version of Luna Rossa will feature top notes of bergamot and angelica; heart notes of patchouli and coumarin; and base notes of woody amber. Of note is the absence of lavender that was a key feature in so many of the other Luna Rossa editions. Prada Luna Rossa Black is available as a 50 and 100 ml Eau de Parfum. Read about this perfume in other languages: Deutsch, Español, Français, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.",['Bergamot'],"['Angelica', 'Patchouli']","['Coumarin', 'Amber', 'Musk']",fall and winter,"{'very weak': 63, 'weak': 53, 'moderate': 175, 'long lasting': 306, 'eternal': 61}","{'intimate': 159, 'moderate': 360, 'strong': 220, 'enormous': 142}","{'female': 4, 'more female': 1, 'unisex': 21, 'more male': 72, 'male': 63}","{'way overpriced': 4, 'overpriced': 13, 'ok': 71, 'good value': 45, 'great value': 12}",300
Ani,Nishane,https://fimgs.net/mdimg/perfume/375x500.54785.jpg,for women and men,4.4,933,"['warm spicy', 'vanilla', 'woody', 'citrus', 'powdery', 'aromatic', 'amber', 'soft spicy', 'fruity', 'balsamic']","Ani by Nishane is a Oriental Floral fragrance for women and men. This is a new fragrance. Ani was launched in 2019. The nose behind this fragrance is Cecile Zarokian. Top notes are Ginger, Bergamot, Pink Pepper and Green Notes; middle notes are Black Currant, Cardamom and Turkish Rose; base notes are Vanilla, Sandalwood, Benzoin, Cedar, Patchouli, Ambergris and Musk.  Read about this perfume in other languages: Deutsch, Español, Français, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.","['Ginger', 'Bergamot', 'Pink Pepper', 'Green Notes']","['Black Currant', 'Cardamom', 'Turkish Rose']","['Vanilla', 'Sandalwood', 'Benzoin', 'Cedar', 'Patchouli', 'Ambergris', 'Musk']",fall and winter,"{'very weak': 42, 'weak': 48, 'moderate': 70, 'long lasting': 189, 'eternal': 231}","{'intimate': 74, 'moderate': 194, 'strong': 285, 'enormous': 303}","{'female': 9, 'more female': 23, 'unisex': 177, 'more male': 47, 'male': 10}","{'way overpriced': 22, 'overpriced': 79, 'ok': 109, 'good value': 21, 'great value': 9}",300
Bad Boy Le Parfum,Carolina Herrera,https://fimgs.net/mdimg/perfume/375x500.65718.jpg,for men,3.05,21,"['aromatic', 'fresh spicy', 'leather', 'woody', 'herbal', 'cannabis', 'citrus', 'earthy', 'smoky', 'animalic']","Bad Boy Le Parfum by Carolina Herrera is a Leather fragrance for men. This is a new fragrance. Bad Boy Le Parfum was launched in 2021. Bad Boy Le Parfum was created by Fanny Bal, Bruno Jovanovic and Nicolas Beaulieu. Top notes are Grapefruit and cannabis; middle notes are Geranium and Black Pepper; base notes are Leather and Vetiver.  Read about this perfume in other languages: Deutsch, Español, Français, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.","['Grapefruit', 'cannabis']","['Geranium', 'Black Pepper']","['Leather', 'Vetiver']",spring and summer,"{'very weak': 0, 'weak': 0, 'moderate': 3, 'long lasting': 6, 'eternal': 0}","{'intimate': 0, 'moderate': 5, 'strong': 4, 'enormous': 0}","{'female': 0, 'more female': 0, 'unisex': 0, 'more male': 6, 'male': 2}","{'way overpriced': 1, 'overpriced': 0, 'ok': 5, 'good value': 0, 'great value': 0}",300
Hacivat,Nishane,https://fimgs.net/mdimg/perfume/375x500.44174.jpg,for women and men,4.44,1344,"['woody', 'citrus', 'mossy', 'fruity', 'sweet', 'earthy', 'fresh spicy', 'tropical', 'aromatic', 'patchouli']","Hacivat by Nishane is a Chypre fragrance for women and men. Hacivat was launched in 2017. The nose behind this fragrance is Jorge Lee. Top notes are Pineapple, Grapefruit and Bergamot; middle notes are Cedar, Patchouli and Jasmine; base notes are Oakmoss and Woody Notes. “For the collection named as “SHADOW PLAY” launched in 2017, NISHANE has got the main inspiration from the traditional shadow play which is also known as shadow puppetry, an ancient form of storytelling and entertainment which uses flat articulated cut-out figures (shadow puppets) which are held between a source of light and a translucent screen or scrim. The cut-out shapes of the puppets sometimes include translucent color or other types of detailing. Various effects can be achieved by moving both the puppets and the light source. A talented puppeteer can make the figures appear to walk, dance, fight, nod and laugh.
KARAGOZ (meaning “black eye” in Turkish) and HACIVAT (shortened in time from ""Hacı İvaz"" meaning ""İvaz the Pilgrim""), ZENNE (the common name of the generally beautiful and flirty women featuring in various plays) are the lead characters of the traditional Turkish shadow play, popularized during the Ottoman period and then spread to most nation states that comprised the Ottoman Empire and most prominently in Turkey and Greece.
The creative directors Mert Güzel and Murat Katran dreamed of bringing the legend of Karagoz & Hacivat into the today’s world. Under the inspiration of their playful characters, the perfume trilogy has been created together with the perfumer Jorge Lee. Just like the theme of these shadow plays, the main objective of NISHANE was to emphasize the contrasting interaction of the people that we can see in every single culture.
HACIVAT is a tribute to elegance, competence, and love of art.
ZENNE is a tribute to beauty, self-confidence, and flirtation.
KARAGOZ is a tribute to wittiness, straightforwardness and sincerity” — press release of the brand. Read about this perfume in other languages: Deutsch, Español, Français, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.","['Pineapple', 'Grapefruit', 'Bergamot']","['Cedar', 'Patchouli', 'Jasmine']","['Oakmoss', 'Woody Notes']",summer,"{'very weak': 56, 'weak': 43, 'moderate': 72, 'long lasting': 229, 'eternal': 585}","{'intimate': 119, 'moderate': 232, 'strong': 353, 'enormous': 635}","{'female': 3, 'more female': 2, 'unisex': 66, 'more male': 115, 'male': 99}","{'way overpriced': 39, 'overpriced': 99, 'ok': 99, 'good value': 38, 'great value': 9}",300
Herod,Parfums de Marly,https://fimgs.net/mdimg/perfume/375x500.16939.jpg,for men,4.49,3544,"['tobacco', 'vanilla', 'warm spicy', 'cinnamon', 'sweet', 'amber', 'woody', 'powdery', 'musky', 'fruity']","Herod by Parfums de Marly is a Woody Spicy fragrance for men. Herod was launched in 2012. The nose behind this fragrance is Olivier Pescheux. Top notes are Cinnamon and Pepper; middle notes are Tobacco Leaf, Incense, Osmanthus and Labdanum; base notes are Vanilla, Iso E Super, Musk, Cedar, Cypriol Oil or Nagarmotha and Vetiver. Herod is the seventh perfume from the house Parfums de Marly. It is classified as a woody - spicy composition. Top notes: cinnamon and pepper wood. Heart: osmanthus, tobacco leaf, labdanum and incense. Base: vanilla, cedar, vetiver, patchouli, iso e super, cypriol and musk. It is available as 125 ml EDT. Read about this perfume in other languages: Deutsch, Español, Français, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.","['Cinnamon', 'Pepper']","['Tobacco Leaf', 'Incense', 'Osmanthus', 'Labdanum']","['Vanilla', 'Iso E Super', 'Musk', 'Cedar', 'Cypriol Oil or Nagarmotha', 'Vetiver']",winter,"{'very weak': 102, 'weak': 126, 'moderate': 335, 'long lasting': 787, 'eternal': 416}","{'intimate': 248, 'moderate': 849, 'strong': 675, 'enormous': 421}","{'female': 7, 'more female': 6, 'unisex': 105, 'more male': 141, 'male': 113}","{'way overpriced': 37, 'overpriced': 131, 'ok': 120, 'good value': 32, 'great value': 16}",300
Red Tobacco,Mancera,https://fimgs.net/mdimg/perfume/375x500.46663.jpg,for women and men,4.13,1836,"['warm spicy', 'tobacco', 'woody', 'sweet', 'vanilla', 'amber', 'cinnamon', 'oud', 'powdery', 'fruity']","Red Tobacco by Mancera is a Woody Spicy fragrance for women and men. Red Tobacco was launched in 2017. Top notes are Cinnamon, Agarwood (Oud), Saffron, Incense, Nutmeg, Green Apple and White Pear; middle notes are Patchouli and Jasmine; base notes are Tobacco, Madagascar Vanilla, Amber, Sandalwood, Guaiac Wood, White Musk and Haitian Vetiver.  Read about this perfume in other languages: Deutsch, Español, Français, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.","['Cinnamon', 'Agarwood (Oud)', 'Saffron', 'Incense', 'Nutmeg', 'Green Apple', 'White Pear']","['Patchouli', 'Jasmine']","['Tobacco', 'Madagascar Vanilla', 'Amber', 'Sandalwood', 'Guaiac Wood', 'White Musk', 'Haitian Vetiver']",fall and winter,"{'very weak': 54, 'weak': 47, 'moderate': 85, 'long lasting': 350, 'eternal': 699}","{'intimate': 93, 'moderate': 259, 'strong': 663, 'enormous': 639}","{'female': 10, 'more female': 11, 'unisex': 151, 'more male': 168, 'male': 169}","{'way overpriced': 14, 'overpriced': 36, 'ok': 203, 'good value': 137, 'great value': 70}",300
Baccarat Rouge 540 Extrait de Parfum,Maison Francis Kurkdjian,https://fimgs.net/mdimg/perfume/375x500.46066.jpg,for women and men,4.28,2370,"['amber', 'almond', 'woody', 'warm spicy', 'animalic', 'nutty', 'fruity', 'musky', 'white floral', 'sweet']","Baccarat Rouge 540 Extrait de Parfum by Maison Francis Kurkdjian is a Oriental Floral fragrance for women and men. Baccarat Rouge 540 Extrait de Parfum was launched in 2017. The nose behind this fragrance is Francis Kurkdjian. Top notes are Bitter Almond and Saffron; middle notes are Egyptian Jasmine and Cedar; base notes are Ambergris, Musk and Woody Notes.  Read about this perfume in other languages: Deutsch, Español, Français, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.","['Bitter Almond', 'Saffron']","['Egyptian Jasmine', 'Cedar']","['Ambergris', 'Musk', 'Woody Notes']",fall and winter,"{'very weak': 63, 'weak': 52, 'moderate': 116, 'long lasting': 257, 'eternal': 594}","{'intimate': 147, 'moderate': 314, 'strong': 537, 'enormous': 523}","{'female': 81, 'more female': 84, 'unisex': 192, 'more male': 15, 'male': 8}","{'way overpriced': 181, 'overpriced': 93, 'ok': 60, 'good value': 20, 'great value': 16}",300
Black Phantom,By Kilian,https://fimgs.net/mdimg/perfume/375x500.43632.jpg,for women and men,4.27,2146,"['sweet', 'warm spicy', 'caramel', 'coffee', 'chocolate', 'rum', 'woody', 'almond', 'powdery', 'vanilla']","Black Phantom by By Kilian is a Oriental Vanilla fragrance for women and men. Black Phantom was launched in 2017. The nose behind this fragrance is Sidonie Lancesseur.  Read about this perfume in other languages: Deutsch, Español, Français, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.",[],"['Dark Chocolate', 'Rum', 'Caramel', 'Coffee', 'Sugar Cane', 'Almond', 'Sandalwood', 'Heliotrope']",[],winter,"{'very weak': 68, 'weak': 70, 'moderate': 191, 'long lasting': 316, 'eternal': 422}","{'intimate': 162, 'moderate': 447, 'strong': 388, 'enormous': 547}","{'female': 14, 'more female': 21, 'unisex': 167, 'more male': 95, 'male': 38}","{'way overpriced': 69, 'overpriced': 93, 'ok': 75, 'good value': 46, 'great value': 6}",300
Scandal,Jean Paul Gaultier,https://fimgs.net/mdimg/perfume/375x500.45651.jpg,for women,3.78,3088,"['honey', 'sweet', 'white floral', 'citrus', 'patchouli', 'caramel', 'animalic', 'beeswax', 'floral', 'woody']","Scandal by Jean Paul Gaultier is a Chypre Floral fragrance for women. Scandal was launched in 2017. Scandal was created by Daphne Bugey, Fabrice Pellegrin and Christophe Raynaud. Top notes are Blood Orange and Mandarin Orange; middle notes are Honey, Gardenia, Orange Blossom, Jasmine and Peach; base notes are Beeswax, Patchouli, Caramel and Licorice. New pillar fragrance from Jean Paul Gaultier is launched in June 2017 in collaboration with PUIG and named SCANDAL. Scandal is designed to break all clichés, offering something new and modern, and at the same time powerful and elegant. The key notes of the composition are blood orange, honey, patchouli and gardenia, which united share a creamy, earthy and balsamic gourmet effect, with warm, deep, woody undertones. The bottle of the new fragrance SCANDAL is made of transparent glass while the stopper is designed in the sculptural form of female legs in a golden color. This is the first fragrance of Jean Paul Gaultier launched with Puig company. The brand stated that they wanted to offer a different version of previous fragrances from the Jean Paul Gaultier collection respecting the well-known DNA of the brand and ""to stop the fever of limited editions."" The goal is to create something more spicy, festive, sexy and fun, from the bottle to the campaign. The advertising campaign was created as a mix of sex and politics. “We decided to tell the life of ‘Madame La Ministre.’ She’s a government minister who goes partying at night in Paris’ Pigalle neighborhood and makes her way directly into the office for her day job. The advertising face is model Vanessa Axente, leaving a club in a form-fitting black number. In her waiting car, filled with friends, she’s literally cut out of the outfit as her car speeds through the streets of Paris toward the Élysée Palace, where she steps out elegantly in a tailored outfit to join colleagues,"" explains Jose Manuel Albesa, chief brand officer of Puig. Scandal is available in 30 ml Eau de Parfum; 50ml Eau de Parfum and 80 ml Eau de Parfum. In addition to the Eau de Parfum, the collection also includes perfumed body care products: a Shower Gel of 200ml and a Body Lotion of 200ml. Read about this perfume in other languages: Deutsch, Español, Français, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.","['Blood Orange', 'Mandarin Orange']","['Honey', 'Gardenia', 'Orange Blossom', 'Jasmine', 'Peach']","['Beeswax', 'Patchouli', 'Caramel', 'Licorice']",fall and winter,"{'very weak': 39, 'weak': 79, 'moderate': 228, 'long lasting': 459, 'eternal': 356}","{'intimate': 138, 'moderate': 455, 'strong': 598, 'enormous': 436}","{'female': 217, 'more female': 24, 'unisex': 3, 'more male': 2, 'male': 0}","{'way overpriced': 10, 'overpriced': 35, 'ok': 121, 'good value': 38, 'great value': 3}",300
Fucking Fabulous,Tom Ford,https://fimgs.net/mdimg/perfume/375x500.46513.jpg,for women and men,3.74,2372,"['aromatic', 'vanilla', 'leather', 'almond', 'amber', 'sweet', 'woody', 'lavender', 'powdery', 'nutty']","Fucking Fabulous by Tom Ford is a Leather fragrance for women and men. Fucking Fabulous was launched in 2017. Top notes are Clary Sage and Lavender; middle notes are Bitter Almond, Leather, Vanilla and Orris; base notes are Leather, Tonka Bean, Cashmeran, White Woods and Amber. Tom Ford presents a new limited edition called Fucking Fabulous from his exclusive Private Blend perfume line during the New York Fashion Week in September 2017. Key ingredients of the composition include bitter almond oil, tonka bean, orris root, leather, cashmerean and clary sage oil. Tom Ford Fucking Fabulous is available on September 7th at Tom Ford boutiques and on the official site as a 50 ml Eau de Parfum. Read about this perfume in other languages: Deutsch, Español, Français, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.","['Clary Sage', 'Lavender']","['Bitter Almond', 'Leather', 'Vanilla', 'Orris']","['Leather', 'Tonka Bean', 'Cashmeran', 'White Woods', 'Amber']",spring,"{'very weak': 143, 'weak': 94, 'moderate': 244, 'long lasting': 351, 'eternal': 145}","{'intimate': 260, 'moderate': 470, 'strong': 418, 'enormous': 327}","{'female': 6, 'more female': 13, 'unisex': 161, 'more male': 74, 'male': 23}","{'way overpriced': 122, 'overpriced': 77, 'ok': 29, 'good value': 13, 'great value': 6}",300
Gucci Guilty Absolute,Gucci,https://fimgs.net/mdimg/perfume/375x500.43040.jpg,for men,4.01,2893,"['woody', 'leather', 'aromatic', 'animalic', 'earthy', 'patchouli', 'smoky']","Gucci Guilty Absolute by Gucci is a Oriental Woody fragrance for men. Gucci Guilty Absolute was launched in 2017. The nose behind this fragrance is Alberto Morillas. Top note is Leather; middle notes are Cypress and Patchouli; base notes are Woody Notes and Vetiver. Gucci Guilty Absolute, the new edition of the masculine Gucci Guilty fragrance, comes out in early 2017. It is the product of collaboration between the creative director of the Gucci house Alessandro Michele and perfumer Alberto Morillas. 
<š> The top notes include leather. The heat is made of patchouli and the base captures goldenwood and vetiver.
From the brand: „Created using a particular blend with a structure that remains unchanged from the first time it is applied to the skin. Leather accord and goldenwood are custom-mixed with natural extract of the Nootka Cypress, selected especially for Gucci Guilty Absolute. The resulting scent features ultra-dry woody notes. The fragrance’s composition is intensified with three forms of patchouli oils and earthy vetiver.“
Available as a 90 and 150 ml eau de Parfum. Read about this perfume in other languages: Deutsch, Español, Français, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.",['Leather'],"['Cypress', 'Patchouli']","['Woody Notes', 'Vetiver']",fall and winter,"{'very weak': 83, 'weak': 86, 'moderate': 351, 'long lasting': 597, 'eternal': 332}","{'intimate': 176, 'moderate': 651, 'strong': 595, 'enormous': 321}","{'female': 1, 'more female': 0, 'unisex': 47, 'more male': 38, 'male': 289}","{'way overpriced': 13, 'overpriced': 19, 'ok': 126, 'good value': 109, 'great value': 85}",300
